Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Aberdeen Transportation Benefit District,Grays Harbor,Transportation Benefit District,Transportation,"TBD sales tax (6 years, 0.13%) for transportation improvements.",Passed,62.83,37.17,February,2013,6,,0.0013,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Adams County Cemetery District No. 1 - Washtucna Cemetery District,Adams,Cemetery District,Cemetery,Excess levy ($0.21) for cemetery maintenance and operation.,Passed,76.84,23.16,August,2017,1,0.21,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 1 - Washtucna Cemetery District,Adams,Cemetery District,Cemetery,Excess levy ($0.27) for cemetery maintenance and operation.,Passed,70.97,29.03,August,2016,1,0.27,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 1 - Washtucna Cemetery District,Adams,Cemetery District,Cemetery,Excess levy ($0.27) for cemetery maintenance and operation.,Passed,85.22,14.78,August,2015,1,0.27,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 1 - Washtucna Cemetery District,Adams,Cemetery District,Cemetery,Excess levy ($0.19) for cemetery maintenance and operation.,Passed,81.82,18.18,August,2014,1,0.19,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 1 - Washtucna Cemetery District,Adams,Cemetery District,Cemetery,Excess levy ($0.26) for cemetery maintenance and operation.,Passed,85.94,14.06,August,2013,1,0.26,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 1 - Washtucna Cemetery District,Adams,Cemetery District,Cemetery,Excess levy ($0.26) for cemetery maintenance and operation.,Passed,84.7,16.3,August,2012,1,0.26,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 2 - Othello,Adams,Cemetery District,Cemetery,Excess levy ($0.02) for cemetery maintenance and operation. <em>(Measure reached required 60% approval but did not reach turnout/validation requirements.)</em>,Failed,63.52,36.48,NOVEMBER,2017,1,0.02,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 2 - Othello,Adams,Cemetery District,Cemetery,Excess levy ($0.02) for cemetery maintenance and operation.,Failed,50.86,49.14,November,2016,1,0.02,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 3 - Lind Cemetery District No.3,Adams,Cemetery District,Cemetery,Excess levy ($0.11) for cemetery maintenance and operation.,Failed,57.62,42.38,November,2017,1,0.11,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 3 - Lind Cemetery District No.3,Adams,Cemetery District,Cemetery,Excess levy ($0.12) for cemetery maintenance and operation.,Passed,61.12,38.88,November,2016,1,0.12,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 3 - Lind Cemetery District No.3,Adams,Cemetery District,Cemetery,Excess levy ($0.12) for cemetery maintenance and operation.,Passed,61.51,38.49,November,2015,1,0.12,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 3 - Lind Cemetery District No.3,Adams,Cemetery District,Cemetery,Excess levy ($0.12) for cemetery maintenance and operation.,Passed,67.06,32.94,November,2014,1,0.12,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Cemetery District No. 3 - Lind Cemetery District No.3,Adams,Cemetery District,Cemetery,Excess levy ($0.15) for cemetery maintenance and operation.,Passed,65.91,34.09,November,2013,1,0.15,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
